GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Notizie,Avviso,20,14,0,0,5,4,4,2,4,2
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Notizie,Newsletter,40,19,0,0,11,5,8,2,8,2
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Notizie,Notizie,16,15,0,0,6,7,5,4,5,4
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Base,Pasto,68,14,0,0,15,2,11,1,11,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Base,PostoLetto,78,14,0,0,19,2,14,1,14,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Base,Base,100,0,0,0,38,0,24,0,24,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Base,BaseDAOmySQL,492,0,8,0,133,0,11,0,7,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Base,PastoDAOmySQL,382,0,8,0,109,0,11,0,7,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Base,PostoLettoDAOmySQL,324,0,6,0,93,0,9,0,6,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.Cookie.Utente,AmministratoreDAOcookie,107,25,0,0,30,6,7,1,7,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.Cookie.Utente,UtenteRegistratoDAOcookie,281,60,11,5,70,11,29,3,22,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao,Data,113,40,6,0,27,11,13,2,10,2
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao,DAOFactory,22,0,4,0,6,0,4,0,2,0
SitoForzeArmate,com.progetto.sitoforzearmate.controller,PrenotaAlloggio,203,3,18,0,54,1,11,1,2,1
SitoForzeArmate,com.progetto.sitoforzearmate.controller,ListaBasi,432,3,36,0,129,1,23,1,5,1
SitoForzeArmate,com.progetto.sitoforzearmate.controller,Profilo,5,720,10,90,1,175,10,46,0,6
SitoForzeArmate,com.progetto.sitoforzearmate.controller,PaginaIniziale,7,414,2,36,0,95,2,22,0,5
SitoForzeArmate,com.progetto.sitoforzearmate.controller,Login,570,3,44,0,150,1,29,1,7,1
SitoForzeArmate,com.progetto.sitoforzearmate.controller,BachecaNewsletter,6,470,1,35,2,119,1,22,0,5
SitoForzeArmate,com.progetto.sitoforzearmate.controller,BachecaAvviso,7,617,4,56,2,141,4,31,0,5
SitoForzeArmate,com.progetto.sitoforzearmate.controller,Calendario,665,624,53,53,177,154,34,29,4,6
SitoForzeArmate,com.progetto.sitoforzearmate.controller,PrenotaPasto,215,3,20,0,62,1,12,1,2,1
SitoForzeArmate,com.progetto.sitoforzearmate.controller,Rubrica,2,111,1,5,0,31,1,4,0,2
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Utente,AmministratoreDAOmySQL,505,0,8,0,139,0,11,0,7,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Utente,UtenteRegistratoDAOmySQL,1635,0,58,0,464,0,56,0,26,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo,Bando,272,87,14,2,67,16,33,8,26,7
SitoForzeArmate,com.progetto.sitoforzearmate.services.configuration,ConfigurationMVC,0,27,0,0,0,5,0,4,0,4
SitoForzeArmate,com.progetto.sitoforzearmate.services.configuration,Configuration,5,10,0,0,2,3,2,1,2,1
SitoForzeArmate,com.progetto.sitoforzearmate,ServletInitializer,12,0,0,0,2,0,2,0,2,0
SitoForzeArmate,com.progetto.sitoforzearmate,SitoForzeArmateApplication,5,3,0,0,2,1,1,1,1,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.Cookie,CookieDAOFactory,54,0,0,0,17,0,14,0,14,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Utente,UtenteRegistrato,236,78,13,3,56,26,39,14,32,13
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Utente,Utente,70,33,0,0,21,11,13,6,13,6
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Utente,Amministratore,0,10,0,0,0,4,0,3,0,3
SitoForzeArmate,com.progetto.sitoforzearmate.model.mo.Utente,Badge,24,3,0,0,8,1,5,1,5,1
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL,MySQLdao,117,0,0,0,35,0,14,0,14,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Bando,BandoDAOmySQL,533,0,12,0,155,0,17,0,11,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Notizie,NewsletterDAOmySQL,320,0,8,0,99,0,11,0,7,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Notizie,NotizieDAOmySQL,281,0,6,0,85,0,9,0,6,0
SitoForzeArmate,com.progetto.sitoforzearmate.model.dao.MySQL.Notizie,AvvisiDAOmySQL,317,0,8,0,98,0,11,0,7,0
